GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,Afghanistan,,,,,,,,,,,,,,,,,,,NaN
248,Åland Islands,,,,,,,,,,,,,,,,,,,N
8,Albania,,,,,,,,,,,,,,,,,,,3
12,Algeria,,,,,,,,,,,,,,,,,,,NaN
16,American Samoa,,,,,,,,,,,,,,,,,,,N
20,Andorra,,,,,,,,,,,,,,,,,,,N
24,Angola,,,,,,,,,,,,,,,,,,,NaN
660,Anguilla,,,,,,,,,,,,,,,,,,,N
28,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,3
32,Argentina,,,,,,,,,,,,,,,,,,,3
51,Armenia,,,,,,,,,,,,,,,,,,,NaN
533,Aruba,,,,,,,,,,,,,,,,,,,N
36,Australia,,,,,,,,,,,,,,,,,,,5
40,Austria,,,,,,,,,,,,,,,,,,,5
31,Azerbaijan,,,,,,,,,,,,,,,,,,,N
44,Bahamas,,,,,,,,,,,,,,,,,,,4
48,Bahrain,,,,,,,,,,,,,,,,,,,NaN
50,Bangladesh,,,,,,,,,,,,,,,,,,,3
52,Barbados,,,,,,,,,,,,,,,,,,,NaN
112,Belarus,,,,,,,,,,,,,,,,,,,NaN
56,Belgium,,,,,,,,,,,,,,,,,,,5
84,Belize,,,,,,,,,,,,,,,,,,,4
204,Benin,,,,,,,,,,,,,,,,,,,5
60,Bermuda,,,,,,,,,,,,,,,,,,,N
64,Bhutan,,,,,,,,,,,,,,,,,,,N
68,Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,NaN
535,"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,,,,,N
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,N
72,Botswana,,,,,,,,,,,,,,,,,,,N
76,Brazil,,,,,,,,,,,,,,,,,,,NV
92,British Virgin Islands,,,,,,,,,,,,,,,,,,,N
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,NaN
100,Bulgaria,,,,,,,,,,,,,,,,,,,5
854,Burkina Faso,,,,,,,,,,,,,,,,,,,1
108,Burundi,,,,,,,,,,,,,,,,,,,N
132,Cabo Verde,,,,,,,,,,,,,,,,,,,4
116,Cambodia,,,,,,,,,,,,,,,,,,,NaN
120,Cameroon,,,,,,,,,,,,,,,,,,,1
124,Canada,,,,,,,,,,,,,,,,,,,5
136,Cayman Islands,,,,,,,,,,,,,,,,,,,N
140,Central African Republic,,,,,,,,,,,,,,,,,,,NaN
148,Chad,,,,,,,,,,,,,,,,,,,NaN
830,Channel Islands,,,,,,,,,,,,,,,,,,,N
152,Chile,,,,,,,,,,,,,,,,,,,5
156,China,,,,,,,,,,,,,,,,,,,NV
344,"China, Hong Kong Special Administrative Region",,,,,,,,,,,,,,,,,,,N
446,"China, Macao Special Administrative Region",,,,,,,,,,,,,,,,,,,N
162,Christmas Island,,,,,,,,,,,,,,,,,,,N
166,Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,,N
170,Colombia,,,,,,,,,,,,,,,,,,,NV
174,Comoros,,,,,,,,,,,,,,,,,,,NV
178,Congo,,,,,,,,,,,,,,,,,,,NaN
184,Cook Islands,,,,,,,,,,,,,,,,,,,NaN
188,Costa Rica,,,,,,,,,,,,,,,,,,,NaN
384,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,4
191,Croatia,,,,,,,,,,,,,,,,,,,5
192,Cuba,,,,,,,,,,,,,,,,,,,5
531,Curaçao,,,,,,,,,,,,,,,,,,,N
196,Cyprus,,,,,,,,,,,,,,,,,,,5
203,Czechia,,,,,,,,,,,,,,,,,,,5
408,Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,NaN
180,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,NaN
208,Denmark,,,,,,,,,,,,,,,,,,,5
262,Djibouti,,,,,,,,,,,,,,,,,,,NaN
212,Dominica,,,,,,,,,,,,,,,,,,,N
214,Dominican Republic,,,,,,,,,,,,,,,,,,,3
218,Ecuador,,,,,,,,,,,,,,,,,,,4
818,Egypt,,,,,,,,,,,,,,,,,,,NaN
222,El Salvador,,,,,,,,,,,,,,,,,,,3
226,Equatorial Guinea,,,,,,,,,,,,,,,,,,,NaN
232,Eritrea,,,,,,,,,,,,,,,,,,,NV
233,Estonia,,,,,,,,,,,,,,,,,,,5
748,Eswatini,,,,,,,,,,,,,,,,,,,N
231,Ethiopia,,,,,,,,,,,,,,,,,,,N
238,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,N
234,Faroe Islands,,,,,,,,,,,,,,,,,,,5
242,Fiji,,,,,,,,,,,,,,,,,,,5
246,Finland,,,,,,,,,,,,,,,,,,,5
250,France,,,,,,,,,,,,,,,,,,,5
254,French Guiana,,,,,,,,,,,,,,,,,,,N
258,French Polynesia,,,,,,,,,,,,,,,,,,,N
260,French Southern Territories,,,,,,,,,,,,,,,,,,,N
266,Gabon,,,,,,,,,,,,,,,,,,,NaN
270,Gambia,,,,,,,,,,,,,,,,,,,3
268,Georgia,,,,,,,,,,,,,,,,,,,2
276,Germany,,,,,,,,,,,,,,,,,,,5
288,Ghana,,,,,,,,,,,,,,,,,,,4
292,Gibraltar,,,,,,,,,,,,,,,,,,,N
300,Greece,,,,,,,,,,,,,,,,,,,5
304,Greenland,,,,,,,,,,,,,,,,,,,N
308,Grenada,,,,,,,,,,,,,,,,,,,NaN
312,Guadeloupe,,,,,,,,,,,,,,,,,,,N
316,Guam,,,,,,,,,,,,,,,,,,,N
320,Guatemala,,,,,,,,,,,,,,,,,,,4
831,Guernsey,,,,,,,,,,,,,,,,,,,N
324,Guinea,,,,,,,,,,,,,,,,,,,5
624,Guinea-Bissau,,,,,,,,,,,,,,,,,,,NaN
328,Guyana,,,,,,,,,,,,,,,,,,,2
332,Haiti,,,,,,,,,,,,,,,,,,,NaN
334,Heard Island and McDonald Islands,,,,,,,,,,,,,,,,,,,N
336,Holy See,,,,,,,,,,,,,,,,,,,N
340,Honduras,,,,,,,,,,,,,,,,,,,3
348,Hungary,,,,,,,,,,,,,,,,,,,5
352,Iceland,,,,,,,,,,,,,,,,,,,5
356,India,,,,,,,,,,,,,,,,,,,NaN
360,Indonesia,,,,,,,,,,,,,,,,,,,4
364,Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,3
368,Iraq,,,,,,,,,,,,,,,,,,,NaN
372,Ireland,,,,,,,,,,,,,,,,,,,5
833,Isle of Man,,,,,,,,,,,,,,,,,,,N
376,Israel,,,,,,,,,,,,,,,,,,,NaN
380,Italy,,,,,,,,,,,,,,,,,,,5
388,Jamaica,,,,,,,,,,,,,,,,,,,2
392,Japan,,,,,,,,,,,,,,,,,,,5
832,Jersey,,,,,,,,,,,,,,,,,,,N
400,Jordan,,,,,,,,,,,,,,,,,,,NaN
398,Kazakhstan,,,,,,,,,,,,,,,,,,,NaN
404,Kenya,,,,,,,,,,,,,,,,,,,NaN
296,Kiribati,,,,,,,,,,,,,,,,,,,NaN
414,Kuwait,,,,,,,,,,,,,,,,,,,N
417,Kyrgyzstan,,,,,,,,,,,,,,,,,,,1
418,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,NaN
428,Latvia,,,,,,,,,,,,,,,,,,,5
